2025-04-27 18:17:40 | INFO     | app          | Attempting to set explicit template folder: G:\semester 6\IS\project\templates
2025-04-27 18:17:40 | INFO     | app          | Flask App Root Path: G:\semester 6\IS\project\app
2025-04-27 18:17:40 | INFO     | app          | Flask Template Folder (set explicitly): G:\semester 6\IS\project\templates
2025-04-27 18:17:40 | INFO     | app          | Flask application created successfully.
2025-04-27 18:17:40 | INFO     | __main__     | Starting Flask development server...
2025-04-27 18:17:40 | WARNING  | werkzeug     |  * Debugger is active!
2025-04-27 18:18:38 | INFO     | app.routes   | Login attempt for username: 'predictor01'
2025-04-27 18:18:38 | INFO     | app.auth     | Generated token for user 'predictor01' (Role: predictor). Expires at 2025-04-27 19:18:38
2025-04-27 18:18:38 | INFO     | app.routes   | Login successful for user 'predictor01'. Token stored in session.
2025-04-27 18:21:48 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 18:21:48 | INFO     | app.routes   | Model not cached. Attempting to load and decrypt...
2025-04-27 18:21:49 | INFO     | app.utils    | Keras model loaded successfully from temporary file.
2025-04-27 18:21:49 | INFO     | app.routes   | Defended model loaded and cached successfully.
2025-04-27 18:21:50 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4266
2025-04-27 18:31:46 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 18:31:46 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4266
2025-04-27 18:31:56 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 18:31:56 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4266
2025-04-27 18:33:04 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 18:33:04 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.3505
2025-04-27 18:33:10 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 18:33:10 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.3505
2025-04-27 18:33:14 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 18:33:14 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4266
2025-04-27 18:33:56 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 18:33:56 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4105
2025-04-27 18:34:02 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 18:34:02 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4266
2025-04-27 18:34:07 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 18:34:07 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4266
2025-04-27 18:34:12 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 18:34:12 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4266
2025-04-27 18:34:17 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 18:34:18 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4105
2025-04-27 18:34:35 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 18:34:35 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4105
2025-04-27 20:55:32 | INFO     | root         | Logging initialized.
2025-04-27 20:55:32 | INFO     | app          | Creating Flask application...
2025-04-27 20:55:32 | INFO     | app          | Attempting to set explicit template folder: G:\semester 6\IS\project\templates
2025-04-27 20:55:32 | INFO     | app          | Flask App Root Path: G:\semester 6\IS\project\app
2025-04-27 20:55:32 | INFO     | app          | Flask Template Folder (set explicitly): G:\semester 6\IS\project\templates
2025-04-27 20:55:32 | INFO     | app          | Flask application created successfully.
2025-04-27 20:55:32 | INFO     | __main__     | Starting Flask development server...
2025-04-27 20:55:39 | INFO     | root         | Logging initialized.
2025-04-27 20:55:39 | INFO     | app          | Creating Flask application...
2025-04-27 20:55:39 | INFO     | app          | Attempting to set explicit template folder: G:\semester 6\IS\project\templates
2025-04-27 20:55:39 | INFO     | app          | Flask App Root Path: G:\semester 6\IS\project\app
2025-04-27 20:55:39 | INFO     | app          | Flask Template Folder (set explicitly): G:\semester 6\IS\project\templates
2025-04-27 20:55:39 | INFO     | app          | Flask application created successfully.
2025-04-27 20:55:39 | INFO     | __main__     | Starting Flask development server...
2025-04-27 20:55:39 | WARNING  | werkzeug     |  * Debugger is active!
2025-04-27 20:55:52 | WARNING  | app.routes   | Access denied to /. User not logged in.
2025-04-27 20:56:08 | INFO     | app.routes   | Login attempt for username: 'predictor01'
2025-04-27 20:56:08 | INFO     | app.auth     | Generated token for user 'predictor01' (Role: predictor). Expires at 2025-04-27 21:56:08
2025-04-27 20:56:08 | INFO     | app.routes   | Login successful for user 'predictor01'. Token stored in session.
2025-04-27 20:56:17 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
